id;name;type;region;country;status
1;Borders;driver port Associate;Dynamic Berkshire Mouse;Ireland;SMTP
2;Pants SMS innovate;synthesize Jamaica;revolutionize;Iceland;Incredible
3;Computers Buckinghamshire;Berkshire interface;Montserrat exploit;Myanmar;deposit human-resource
4;Pound Kids Officer;Frozen programming;Web system;Nauru;indexing
5;Corporate;Dinar grey;cultivate connect;Saint Martin;TCP Granite
6;Refined Lari support;SCSI Bacon alarm;24/7 Camp;Niger;sexy
7;Viaduct transmit;harness;Dinar Card;Svalbard & Jan Mayen Islands;Legacy
8;RAM;Facilitator Towels;Concrete Generic;Pakistan;Fantastic override
9;reboot Savings;white generating Ramp;Metal deposit Cheese;Taiwan;interface
10;cutting-edge reintermediate;contextually-based;Tactics engineer;Kenya;Street
